t; temp1; temp2
48730;11,13;11,43
54756;11,43;11,28
60790;11,28;11,28
66817;11,43;11,13
72843;11,28;11,28
78870;11,43;11,28
84896;11,28;11,13
90923;11,43;11,28
96950;11,28;11,28
102976;11,13;11,28
109002;11,13;11,28
115030;11,43;11,28
121056;11,43;11,28
127082;11,28;11,28
133109;11,28;11,28
139136;11,43;11,28
145162;11,28;11,13
151188;11,58;11,28
157215;11,43;11,13
163241;11,43;11,28
169268;11,28;11,28
175294;11,28;11,13
181321;11,43;11,28
187347;11,28;11,13
193374;11,43;11,13
199401;11,28;11,13
205435;11,43;11,43
211463;11,28;11,28
217489;11,28;11,13
223516;11,43;11,28
229542;11,13;11,28
235570;11,28;11,28
241596;11,28;11,28
247623;11,28;11,13
253650;11,28;11,13
259677;11,43;11,28
265704;11,28;11,13
271730;11,28;11,13
277757;11,28;11,28
283784;11,43;11,28
289811;11,43;11,28
295837;11,28;11,28
301864;11,28;11,28
307891;10,97;11,28
313918;11,28;11,28
319944;11,43;11,28
325971;11,43;11,13
331998;11,28;11,28
338025;11,43;11,28
344051;11,43;11,28
350078;11,28;11,13
356123;11,28;11,28
362149;11,43;11,28
368177;11,28;11,28
374203;11,28;11,28
380230;11,28;11,28
386256;11,28;11,28
392284;11,43;11,13
398310;11,28;11,28
404337;11,28;11,28
410363;11,28;11,13
416390;11,43;11,28
422417;11,43;11,28
428443;11,74;11,13
434470;11,43;11,28
440504;11,28;11,13
446530;11,28;11,28
452557;11,13;11,28
458584;11,43;11,13
464611;11,43;11,28
470637;11,28;11,13
476664;11,43;11,28
482692;11,28;11,28
488718;11,43;11,28
494745;11,28;11,13
500771;11,43;11,13
506799;11,28;11,13
512833;11,28;11,13
518860;11,28;11,13
524887;11,28;11,13
530913;11,28;11,28
536965;11,58;11,43
542992;11,43;11,28
549018;11,28;11,13
555045;11,43;11,13
561072;11,43;11,28
567099;11,28;11,28
573125;11,28;11,13
579152;11,28;11,13
